der,Chat,chat
der,Comic,comic
der,Film,film
der,Quatsch,nonsense
der,Wetterbericht,weather report
das,Blog,blog
die,Anzeige,ad; announcement
die,Bekanntschaft,acquaintance
die,Erfahrung,experience
die,Firma,company
die,Politik,politics
die,Stelle,job; position
die,Weile,while
die,Wirtschaft,economy
die,Zukunft,future
der,Kindergarten,nursery school
der,Hausemann,househusband
das,Ehepaar,married couple
das,Paar,pair; couple
die,Ehe,marriage
die,Erziehung,rearing; education
die,Geburt,birth
der,Architekt,architect (m.)
die,Architektin,architect (f.)
der,Manager,manager (m.)
die,Managerin,manager (f.)
der,Urlaub,vacation
die,Arbeitzeit,working hours
die,Karriere,career
die,Pause,break; rest
der,Anfang,beginning
der,Mittag,noon
der,Kontakt,contact
der,Schritt,step
das,Gefühl,feeling
das,Recht,right; law
der,Spaß,fun
das,Wunder,wonder; miracle
die,Frieheit,freedom
die,Großstadt,city
die,Wirklichkeit,reality
