der,Kaffee,coffee
das,Abendessen,evening meal
das,Bier,beer
das,Brot,bread
das,Brötchen,bun; roll
das,Essen,meal; prepared food
das,Frühstück,breakfast
das,Mittagessen,lunch
die,Butter,butter
die,Wurst,sausage; lunch meat
die,Lebensmittel,groceries
die,Spaghetti,spaghetti
der,Bäcker,baker
der,Metzger,butcher
der,Supermarkt,supermarket
das,Kaufhaus,department store
die,Apotheke,pharmacy
die,Bäckerei,bakery
die,Buchhandlung,bookstore
die,Drogerie,drugstore
die,Metzgerei,butcher shop
der,Kamm,comb
der,Liebling,favorite
das,Aspirin,aspirin
das,Pfund,pound
die,Kopfschmerzen,headache
die,Blumenstand,flower stand
der,Laden,store
der,Liter,liter
der,Markt,market
das,Geld,money
das,Geschäft,store
das,Gramm,gram
das,Kilo,kilo
das,Lebensmittelgeschäft,grocery store
die,Einkaufstasche,shopping bag
die,Tasche,bag
der,Apfelsaft,apple juice
der,Fisch,fish
das,Fleisch,meat
die,Karotte,carrot
die,Kartoffel,potato
die,Marmelade,marmalade
die,Möhre,carrot
der,Besuch,visit
der,Durst,thirst
der,Hunger,hunger
der,Wunsch,wish
das,Ding,thing
das,Glas,glass
das,Haus,house
das,Produkt,product
das,Stück,piece
die,Blume,flower
die,Rose,rose
die,Tablette,tablet; pill
die,Tasse,cup
