der,Science-Fiction-Film,science fiction film
das,Fernsehen,television
das,Fernsehprogramm,TV listing; channel
das,Programm,program; channel
die,Band,band
die,Probe,rehersal
die,Science-Fiction,science fiction
die,Sendung,TV or radio program
der,Flug,flight
die,Ahnung,hunch; idea
die,Fabrik,factory
die,Freizeit,free time
die,Idee,idea
die,Information,information
der,Club,club
das,Internetcafe,internet cafe
das,Konzert,concert
das,Musical,musical
das,Stück,piece
das,Theater,theater
die,Karte,ticket
die,Kneipe,bar; pub
die,Rockmusic,rock music
der,Arzt,doctor; physician (m.)
die,Ärztin,doctor; physician (f.)
der,Führerschein,driver's license
der,Reporter,reporter (m.)
die,Reporterin,reporter (f.)
das,Interview,interview
das,Krankenhaus,hospital
die,Antwort,answer
die,Kleidung,clothing
die,Sache,thing; matter
die,Sachen,clothes
die,Leute,people
